dim1,dim2,dim3,dim4,dim5,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
:measureComment is ''
"Volume Litres","World","Total Product","Total Channels","Actual",2805618.9845353,2945899.9337622,3093194.9304502,2104214.2384013,2272551.3774735,2454355.4876715,2650703.9266853,2862760.2408203,1823652.3399480,2188382.8079378,2626059.3695251,3151271.2434301,30978664.8806406
"Average Price","World","Total Product","Total Channels","Actual",1.7120592,1.7120592,1.7120592,1.7120592,1.7120592,1.7120592,1.7120592,1.7120592,1.7120592,1.7120592,1.7120592,1.7120592,20.5447110
"Volume Litres","North America","Total Product","Total Channels","Actual",1046039.2465665,1098341.2088949,1153258.2693397,784529.4349248,847291.7897190,915075.1328964,988281.1435281,1067343.6350106,679925.5102684,815910.6123220,979092.7347863,1174911.2817437,11550000.0000003
"Price per Litre","North America","Total Product","Total Channels","Actual",52.0399197,52.0399197,52.0399197,52.0399197,52.0399197,52.0399197,52.0399197,52.0399197,52.0399197,52.0399197,52.0399197,52.0399197,624.4790358
"Sales Revenue","North America","Total Product","Total Channels","Actual",1730574.0947022,1817102.7994374,1907957.9394093,1297930.5710265,1401765.0167089,1513906.2180455,1635018.7154891,1765820.2127285,1124873.1615566,1349847.7938679,1619817.3526414,1943780.8231697,19108394.6987831
"Standard Cost per Litre","North America","Total Product","Total Channels","Actual",31.2367837,31.2367837,31.2367837,31.2367837,31.2367837,31.2367837,31.2367837,31.2367837,31.2367837,31.2367837,31.2367837,31.2367837,374.8414046
"Manufacturing Cost","North America","Total Product","Total Channels","Actual",1024503.3080176,1075728.4734185,1129514.8970895,768377.4810131,829847.6794943,896235.4938538,967934.3333621,1045369.0800313,665927.1502116,799112.5802539,958935.0963046,1150722.1155655,11312207.6886158
"Gross Margin","North America","Total Product","Total Channels","Actual",706070.7866846,741374.3260188,778443.0423198,529553.0900134,571917.3372146,617670.7241917,667084.3821270,720451.1326973,458946.0113450,550735.2136140,660882.2563368,793058.7076042,7796187.0101673
"GM %","North America","Total Product","Total Channels","Actual",0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980
"Average Price","North America","Total Product","Total Channels","Actual",1.6544065,1.6544065,1.6544065,1.6544065,1.6544065,1.6544065,1.6544065,1.6544065,1.6544065,1.6544065,1.6544065,1.6544065,19.8528776
"Volume Litres","USA","Total Product","Total Channels","Actual",380377.9078424,399396.8032345,419366.6433962,285283.4308818,308106.1053523,332754.5937805,359374.9612830,388124.9581856,247245.6400976,296694.7681171,356033.7217405,427240.4660886,4200000.0000000
"Price per Litre","USA","Total Product","Total Channels","Actual",20.8833334,20.8833334,20.8833334,20.8833334,20.8833334,20.8833334,20.8833334,20.8833334,20.8833334,20.8833334,20.8833334,20.8833334,250.6000006
"Sales Revenue","USA","Total Product","Total Channels","Actual",744677.3409122,781911.2079578,821006.7683557,558508.0056842,603188.6461389,651443.7378300,703559.2368564,759843.9758049,484040.2715930,580848.3259115,697017.9910939,836421.5893126,8222467.0974513
"Standard Cost per Litre","USA","Total Product","Total Channels","Actual",11.1875000,11.1875000,11.1875000,11.1875000,11.1875000,11.1875000,11.1875000,11.1875000,11.1875000,11.1875000,11.1875000,11.1875000,134.2500003
"Manufacturing Cost","USA","Total Product","Total Channels","Actual",398934.2897744,418881.0042631,439825.0544763,299200.7173308,323136.7747173,348987.7166947,376906.7340302,407059.2727526,259307.2883534,311168.7460240,373402.4952288,448082.9942746,4404893.0879203
"Gross Margin","USA","Total Product","Total Channels","Actual",345743.0511378,363030.2036947,381181.7138795,259307.2883534,280051.8714216,302456.0211354,326652.5028262,352784.7030523,224732.9832396,269679.5798875,323615.4958650,388338.5950380,3817574.0095310
"GM %","USA","Total Product","Total Channels","Actual",0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857
"Average Price","USA","Total Product","Total Channels","Actual",1.9577303,1.9577303,1.9577303,1.9577303,1.9577303,1.9577303,1.9577303,1.9577303,1.9577303,1.9577303,1.9577303,1.9577303,23.4927631
"Volume Litres","Canada","Total Product","Total Channels","Actual",665661.3387241,698944.4056604,733891.6259435,499246.0040430,539185.6843666,582320.5391159,628906.1822451,679218.6768250,432679.8701708,519215.8442050,623059.0130459,747670.8156551,7350000.0000003
"Price per Litre","Canada","Total Product","Total Channels","Actual",34.7707503,34.7707503,34.7707503,34.7707503,34.7707503,34.7707503,34.7707503,34.7707503,34.7707503,34.7707503,34.7707503,34.7707503,417.2490033
