dim1,dim2,dim3,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
:measureComment is ''
"Operating Expenses","World","Budget",272282.7561574,263972.5063282,275980.3476981,272668.9218447,270142.7515906,266060.5030267,275688.1537888,265921.4565583,266031.7601888,261769.0589997,259027.0416700,263837.8320643,3213383.0899155
"HO Mgmt Recharge (USD)","World","Budget",12000.0000000,12000.0000000,12000.0000000,12000.0000000,12000.0000000,12000.0000000,12000.0000000,12000.0000000,12000.0000000,12000.0000000,12000.0000000,12000.0000000,144000.0000000
"Depreciation","World","Budget",1597.0329990,1671.3661866,1914.8973890,2261.9552846,2261.9552846,2313.5548718,2313.5548718,2313.5548718,2313.5548718,2313.5548718,2538.9541505,2538.9541505,26352.8898035
"Interest Expense","World","Budget",546.5675557,707.0554276,682.5846789,658.0119688,633.3368724,608.5589631,583.6778125,558.6929905,533.6040650,508.4106023,483.1121669,457.7083213,6961.3214250
"Total Operating Expense","World","Budget",286426.3567121,278350.9279423,290577.8297660,287588.8890981,285038.0437475,280982.6168616,290585.3864731,280793.7044205,280878.9191255,276591.0244737,274049.1079874,278834.4945361,3390697.3011440
"Operating Profit (Loss)","World","Budget",-286426.3567121,-278350.9279423,-290577.8297660,-287588.8890981,-285038.0437475,-280982.6168616,-290585.3864731,-280793.7044205,-280878.9191255,-276591.0244737,-274049.1079874,-278834.4945361,-3390697.3011440
"Non Operating Expenses","World","Budget",12543.3200855,13911.9525994,12193.9032003,13855.9718070,13399.2486890,15978.7462827,11701.4020338,13942.2003008,9829.2106592,13511.9254310,9734.2387894,13198.1196974,153800.2395754
"Net Profit (Loss)","World","Budget",-298969.6767975,-292262.8805418,-302771.7329663,-301444.8609051,-298437.2924366,-296961.3631443,-302286.7885069,-294735.9047213,-290708.1297847,-290102.9499047,-283783.3467768,-292032.6142335,-3544497.5407194
"Operating Expenses","North America","Budget",110083.2448336,105728.8761634,111591.7990219,110587.3939107,108280.7658937,105752.2344218,112134.8785297,106600.9178104,106484.1265184,104738.0967029,103003.7460167,104911.3371194,1289897.4169427
"HO Mgmt Recharge (USD)","North America","Budget",3600.0000000,3600.0000000,3600.0000000,3600.0000000,3600.0000000,3600.0000000,3600.0000000,3600.0000000,3600.0000000,3600.0000000,3600.0000000,3600.0000000,43200.0000000
"Depreciation","North America","Budget",143.3333333,143.3333333,143.3333333,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,4843.5210601
"Total Operating Expense","North America","Budget",113826.5781669,109472.2094968,115335.1323553,114677.7851396,112371.1571226,109842.6256507,116225.2697586,110691.3090393,110574.5177473,108828.4879319,107094.1372456,109001.7283483,1337940.9380028
"Operating Profit (Loss)","North America","Budget",-113826.5781669,-109472.2094968,-115335.1323553,-114677.7851396,-112371.1571226,-109842.6256507,-116225.2697586,-110691.3090393,-110574.5177473,-108828.4879319,-107094.1372456,-109001.7283483,-1337940.9380028
"Non Operating Expenses","North America","Budget",5746.1315665,6258.0667298,5131.0307619,6133.4893516,5818.1528632,7443.4983436,5117.4051112,6396.2697586,3922.2408897,5886.2811169,4019.5669664,5716.9337435,67589.0672030
"Net Profit (Loss)","North America","Budget",-119572.7097334,-115730.2762265,-120466.1631172,-120811.2744912,-118189.3099858,-117286.1239943,-121342.6748699,-117087.5787979,-114496.7586370,-114714.7690487,-111113.7042120,-114718.6620918,-1405530.0052059
"Operating Expenses","USA","Budget",65651.0000000,63414.0000000,66426.0000000,65910.0000000,64725.0000000,63426.0000000,66705.0000000,63862.0000000,63802.0000000,62905.0000000,62014.0000000,62994.0000000,771834.0000000
"HO Mgmt Recharge (USD)","USA","Budget",2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,28800.0000000
"Depreciation","USA","Budget",143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,1720.0000000
"Total Operating Expense","USA","Budget",68194.3333333,65957.3333333,68969.3333333,68453.3333333,67268.3333333,65969.3333333,69248.3333333,66405.3333333,66345.3333333,65448.3333333,64557.3333333,65537.3333333,802354.0000000
"Operating Profit (Loss)","USA","Budget",-68194.3333333,-65957.3333333,-68969.3333333,-68453.3333333,-67268.3333333,-65969.3333333,-69248.3333333,-66405.3333333,-66345.3333333,-65448.3333333,-64557.3333333,-65537.3333333,-802354.0000000
"Non Operating Expenses","USA","Budget",2952.0000000,3215.0000000,2636.0000000,3151.0000000,2989.0000000,3824.0000000,2629.0000000,3286.0000000,2015.0000000,3024.0000000,2065.0000000,2937.0000000,34723.0000000
"Net Profit (Loss)","USA","Budget",-71146.3333333,-69172.3333333,-71605.3333333,-71604.3333333,-70257.3333333,-69793.3333333,-71877.3333333,-69691.3333333,-68360.3333333,-68472.3333333,-66622.3333333,-68474.3333333,-837077.0000000
"Operating Expenses","Canada","Budget",46942.6666667,44705.6666667,47717.6666667,47201.6666667,46016.6666667,44717.6666667,47996.6666667,45153.6666667,45093.6666667,44196.6666667,43305.6666667,44285.6666667,547334.0000000
"HO Mgmt Recharge (USD)","Canada","Budget",1200.0000000,1200.0000000,1200.0000000,1200.0000000,1200.0000000,1200.0000000,1200.0000000,1200.0000000,1200.0000000,1200.0000000,1200.0000000,1200.0000000,14400.0000000
"Depreciation","Canada","Budget",0.0000000,0.0000000,0.0000000,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,3300.0000000
"Total Operating Expense","Canada","Budget",48210.4666667,45973.4666667,48985.4666667,48836.1333333,47651.1333333,46352.1333333,49631.1333333,46788.1333333,46728.1333333,45831.1333333,44940.1333333,45920.1333333,565847.6000000
"Operating Profit (Loss)","Canada","Budget",-48210.4666667,-45973.4666667,-48985.4666667,-48836.1333333,-47651.1333333,-46352.1333333,-49631.1333333,-46788.1333333,-46728.1333333,-45831.1333333,-44940.1333333,-45920.1333333,-565847.6000000
"Non Operating Expenses","Canada","Budget",2952.0000000,3215.0000000,2636.0000000,3151.0000000,2989.0000000,3824.0000000,2629.0000000,3286.0000000,2015.0000000,3024.0000000,2065.0000000,2937.0000000,34723.0000000
"Net Profit (Loss)","Canada","Budget",-51162.4666667,-49188.4666667,-51621.4666667,-51987.1333333,-50640.1333333,-50176.1333333,-52260.1333333,-50074.1333333,-48743.1333333,-48855.1333333,-47005.1333333,-48857.1333333,-600570.6000000
"Operating Expenses","Asia Pacific","Budget",95179.3462486,91597.1085770,96420.3986382,95594.0979504,93696.4888128,91616.3248721,96867.1774984,92314.5169261,92218.4354508,90782.0173947,89355.2074862,90924.5382498,1116565.6581049
"HO Mgmt Recharge (USD)","Asia Pacific","Budget",3600.0000000,3600.0000000,3600.0000000,3600.0000000,3600.0000000,3600.0000000,3600.0000000,3600.0000000,3600.0000000,3600.0000000,3600.0000000,3600.0000000,43200.0000000
"Depreciation","Asia Pacific","Budget",1453.6996656,1528.0328532,1528.0328532,1528.0328532,1528.0328532,1579.6324404,1579.6324404,1579.6324404,1579.6324404,1579.6324404,1579.6324404,1579.6324404,18623.2581616
"Interest Expense","Asia Pacific","Budget",546.5675557,707.0554276,682.5846789,658.0119688,633.3368724,608.5589631,583.6778125,558.6929905,533.6040650,508.4106023,483.1121669,457.7083213,6961.3214250
"Total Operating Expense","Asia Pacific","Budget",100779.6134700,97432.1968578,102231.0161703,101380.1427724,99457.8585384,97404.5162756,102630.4877513,98052.8423570,97931.6719562,96470.0604375,95017.9520935,96561.8790115,1185350.2376915
"Operating Profit (Loss)","Asia Pacific","Budget",-100779.6134700,-97432.1968578,-102231.0161703,-101380.1427724,-99457.8585384,-97404.5162756,-102630.4877513,-98052.8423570,-97931.6719562,-96470.0604375,-95017.9520935,-96561.8790115,-1185350.2376915
"Non Operating Expenses","Asia Pacific","Budget",4727.2085858,5148.3657193,4221.1794825,5045.8788123,4786.4588289,6123.5926938,4209.9699770,5262.0621318,3226.7362129,4842.5063562,3306.8041090,4703.1882170,55603.9511265
"Net Profit (Loss)","Asia Pacific","Budget",-105506.8220558,-102580.5625771,-106452.1956528,-106426.0215847,-104244.3173674,-103528.1089694,-106840.4577283,-103314.9044887,-101158.4081691,-101312.5667937,-98324.7562025,-101265.0672285,-1240954.1888180
"Operating Expenses","Singapore","Budget",24900.9750000,22663.9750000,25675.9750000,25159.9750000,23974.9750000,22675.9750000,25954.9750000,23111.9750000,23051.9750000,22154.9750000,21263.9750000,22243.9750000,282833.7000000
"HO Mgmt Recharge (USD)","Singapore","Budget",1440.0000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,17280.0000000
"Depreciation","Singapore","Budget",2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,24000.0000000
"Total Operating Expense","Singapore","Budget",28882.1270000,26645.1270000,29657.1270000,29141.1270000,27956.1270000,26657.1270000,29936.1270000,27093.1270000,27033.1270000,26136.1270000,25245.1270000,26225.1270000,330607.5240000
"Operating Profit (Loss)","Singapore","Budget",-28882.1270000,-26645.1270000,-29657.1270000,-29141.1270000,-27956.1270000,-26657.1270000,-29936.1270000,-27093.1270000,-27033.1270000,-26136.1270000,-25245.1270000,-26225.1270000,-330607.5240000
"Non Operating Expenses","Singapore","Budget",2952.0000000,3215.0000000,2636.0000000,3151.0000000,2989.0000000,3824.0000000,2629.0000000,3286.0000000,2015.0000000,3024.0000000,2065.0000000,2937.0000000,34723.0000000
"Net Profit (Loss)","Singapore","Budget",-31834.1270000,-29860.1270000,-32293.1270000,-32292.1270000,-30945.1270000,-30481.1270000,-32565.1270000,-30379.1270000,-29048.1270000,-29160.1270000,-27310.1270000,-29162.1270000,-365330.5240000
"Operating Expenses","Thailand","Budget",225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,2708325.0000000
"HO Mgmt Recharge (USD)","Thailand","Budget",720.0000000,720.0000000,720.0000000,720.0000000,720.0000000,720.0000000,720.0000000,720.0000000,720.0000000,720.0000000,720.0000000,720.0000000,8640.0000000
"Depreciation","Thailand","Budget",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1666.6666667,1666.6666667,1666.6666667,1666.6666667,1666.6666667,1666.6666667,1666.6666667,11666.6666667
"Total Operating Expense","Thailand","Budget",248949.7500000,248949.7500000,248949.7500000,248949.7500000,248949.7500000,250616.4166667,250616.4166667,250616.4166667,250616.4166667,250616.4166667,250616.4166667,250616.4166667,2999063.6666667
"Operating Profit (Loss)","Thailand","Budget",-248949.7500000,-248949.7500000,-248949.7500000,-248949.7500000,-248949.7500000,-250616.4166667,-250616.4166667,-250616.4166667,-250616.4166667,-250616.4166667,-250616.4166667,-250616.4166667,-2999063.6666667
"Net Profit (Loss)","Thailand","Budget",-248949.7500000,-248949.7500000,-248949.7500000,-248949.7500000,-248949.7500000,-250616.4166667,-250616.4166667,-250616.4166667,-250616.4166667,-250616.4166667,-250616.4166667,-250616.4166667,-2999063.6666667
"Operating Expenses","Australia","Budget",80150.9500000,77913.9500000,80925.9500000,80409.9500000,79224.9500000,77925.9500000,81204.9500000,78361.9500000,78301.9500000,77404.9500000,76513.9500000,77493.9500000,945833.4000000
"HO Mgmt Recharge (USD)","Australia","Budget",1440.0000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,17280.0000000
"Depreciation","Australia","Budget",0.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,935.0000000
"Interest Expense","Australia","Budget",625.0000000,808.5178814,780.5355803,752.4366863,724.2207136,695.8871743,667.4355786,638.8654346,610.1762483,581.3675237,552.4387628,523.3894654,7960.2710494
"Total Operating Expense","Australia","Budget",82422.5900000,80454.1078814,83438.1255803,82894.0266863,81680.8107136,80353.4771743,83604.0255786,80732.4554346,80643.7662483,79717.9575237,78798.0287628,79748.9794654,974488.3510494
"Operating Profit (Loss)","Australia","Budget",-82422.5900000,-80454.1078814,-83438.1255803,-82894.0266863,-81680.8107136,-80353.4771743,-83604.0255786,-80732.4554346,-80643.7662483,-79717.9575237,-78798.0287628,-79748.9794654,-974488.3510494
"Non Operating Expenses","Australia","Budget",2952.0000000,3215.0000000,2636.0000000,3151.0000000,2989.0000000,3824.0000000,2629.0000000,3286.0000000,2015.0000000,3024.0000000,2065.0000000,2937.0000000,34723.0000000
"Net Profit (Loss)","Australia","Budget",-85374.5900000,-83669.1078814,-86074.1255803,-86045.0266863,-84669.8107136,-84177.4771743,-86233.0255786,-84018.4554346,-82658.7662483,-82741.9575237,-80863.0287628,-82685.9794654,-1009211.3510494
"Operating Expenses","Europe","Budget",52034.4561644,51744.3593607,52770.4716895,51620.8406393,52923.6917808,53332.4251142,51775.0863014,52023.4753425,52274.3894977,51435.6808219,51761.1036530,52796.7191781,626492.6995434
"HO Mgmt Recharge (USD)","Europe","Budget",4800.0000000,4800.0000000,4800.0000000,4800.0000000,4800.0000000,4800.0000000,4800.0000000,4800.0000000,4800.0000000,4800.0000000,4800.0000000,4800.0000000,57600.0000000
"Depreciation","Europe","Budget",0.0000000,0.0000000,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,364.0776256,364.0776256,2240.7762557
"Total Operating Expense","Europe","Budget",55761.1761644,55471.0793607,56686.2693151,55536.6382648,56839.4894064,57248.2227397,55690.8839269,55939.2729680,56190.1871233,55351.4784475,55851.9012785,56887.5168037,673454.1157991
"Operating Profit (Loss)","Europe","Budget",-55761.1761644,-55471.0793607,-56686.2693151,-55536.6382648,-56839.4894064,-57248.2227397,-55690.8839269,-55939.2729680,-56190.1871233,-55351.4784475,-55851.9012785,-56887.5168037,-673454.1157991
"Non Operating Expenses","Europe","Budget",1607.1324201,1945.2858447,2206.2904110,2078.1150685,2169.7561644,1872.4091324,1843.1945205,1773.1954338,2080.9333333,2160.8283105,1869.4684932,2156.8374429,23763.4465753
