dim1,dim2,dim3,dim4,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
:measureComment is ''
"Cost Value","World","Total Asset Category","Budget",1720.0000000,891.9982510,2922.3744292,4164.6947468,0.0000000,619.1950464,0.0000000,0.0000000,0.0000000,0.0000000,2704.7913447,0.0000000,13023.0538181
"Depreciation","World","Total Asset Category","Budget",143.3333333,217.6665209,461.1977234,808.2556189,808.2556189,859.8552061,859.8552061,859.8552061,859.8552061,859.8552061,1085.2544848,1085.2544848,8908.4938157
"Cumulative Depreciation","World","Total Asset Category","Budget",143.3333333,360.9998542,822.1975776,1630.4531965,2438.7088154,3298.5640216,4158.4192277,5018.2744338,5878.1296399,6737.9848460,7823.2393309,8908.4938157,8908.4938157
"Net Asset Value","World","Total Asset Category","Budget",1576.6666667,2250.9983967,4712.1751026,8068.6142305,7260.3586116,7019.6984519,6159.8432458,5299.9880397,4440.1328335,3580.2776274,5199.8144872,4114.5600024,4114.5600024
"Depreciation on Existing Assets","World","Total Asset Category","Budget",1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,17444.3959878
"Total Depreciation","World","Total Asset Category","Budget",1597.0329990,1671.3661866,1914.8973890,2261.9552846,2261.9552846,2313.5548718,2313.5548718,2313.5548718,2313.5548718,2313.5548718,2538.9541505,2538.9541505,26352.8898035
"Cost Value","North America","Total Asset Category","Budget",1720.0000000,0.0000000,0.0000000,4164.6947468,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,5884.6947468
"Depreciation","North America","Total Asset Category","Budget",143.3333333,143.3333333,143.3333333,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,4843.5210601
"Cumulative Depreciation","North America","Total Asset Category","Budget",143.3333333,286.6666667,430.0000000,920.3912289,1410.7824578,1901.1736867,2391.5649156,2881.9561445,3372.3473734,3862.7386023,4353.1298312,4843.5210601,4843.5210601
"Net Asset Value","North America","Total Asset Category","Budget",1576.6666667,1433.3333333,1290.0000000,4964.3035179,4473.9122890,3983.5210601,3493.1298312,3002.7386023,2512.3473734,2021.9561445,1531.5649156,1041.1736867,1041.1736867
"Total Depreciation","North America","Total Asset Category","Budget",143.3333333,143.3333333,143.3333333,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,4843.5210601
"Cost Value","USA","Total Asset Category","Budget",1720.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1720.0000000
"Depreciation","USA","Total Asset Category","Budget",143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,1720.0000000
"Cumulative Depreciation","USA","Total Asset Category","Budget",143.3333333,286.6666667,430.0000000,573.3333333,716.6666667,860.0000000,1003.3333333,1146.6666667,1290.0000000,1433.3333333,1576.6666667,1720.0000000,1720.0000000
"Net Asset Value","USA","Total Asset Category","Budget",1576.6666667,1433.3333333,1290.0000000,1146.6666667,1003.3333333,860.0000000,716.6666667,573.3333333,430.0000000,286.6666667,143.3333333,0.0000000,0.0000000
"Total Depreciation","USA","Total Asset Category","Budget",143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,1720.0000000
"Cost Value","Canada","Total Asset Category","Budget",0.0000000,0.0000000,0.0000000,4400.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,4400.0000000
"Depreciation","Canada","Total Asset Category","Budget",0.0000000,0.0000000,0.0000000,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,3300.0000000
"Cumulative Depreciation","Canada","Total Asset Category","Budget",0.0000000,0.0000000,0.0000000,366.6666667,733.3333333,1100.0000000,1466.6666667,1833.3333333,2200.0000000,2566.6666667,2933.3333333,3300.0000000,3300.0000000
