dim1,dim2,dim3,dim4,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
:measureComment is ''
"STD Cost","USA","Total Product","Actual",11.1875001,11.1875001,11.1875001,11.1875001,11.1875001,11.1875001,11.1875001,11.1875001,11.1875001,11.1875001,11.1875001,11.1875001,11.1875001
"STD Cost","Canada","Total Product","Actual",11.1875003,11.1875003,11.1875003,11.1875003,11.1875003,11.1875003,11.1875003,11.1875003,11.1875003,11.1875003,11.1875003,11.1875003,11.1875003
"STD Cost","UK","Total Product","Actual",7.7566668,7.7566668,7.7566668,7.7566668,7.7566668,7.7566668,7.7566668,7.7566668,7.7566668,7.7566668,7.7566668,7.7566668,7.7566668
"STD Cost","France","Total Product","Actual",0.6215278,0.6215278,0.6215278,0.6215278,0.6215278,0.6215278,0.6215278,0.6215278,0.6215278,0.6215278,0.6215278,0.6215278,0.6215278
"STD Cost","Singapore","Total Product","Actual",1.0963750,1.0963750,1.0963750,1.0963750,1.0963750,1.0963750,1.0963750,1.0963750,1.0963750,1.0963750,1.0963750,1.0963750,1.0963750
"STD Cost","Thailand","Total Product","Actual",396.7833343,396.7833343,396.7833343,396.7833343,396.7833343,396.7833343,396.7833343,396.7833343,396.7833343,396.7833343,396.7833343,396.7833343,396.7833343
"STD Cost","Australia","Total Product","Actual",1.0441667,1.0441667,1.0441667,1.0441667,1.0441667,1.0441667,1.0441667,1.0441667,1.0441667,1.0441667,1.0441667,1.0441667,1.0441667
"STD Cost","USA","Fantasy","Actual",0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528
"STD Cost","Canada","Fantasy","Actual",0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528
"STD Cost","UK","Fantasy","Actual",0.6306233,0.6306233,0.6306233,0.6306233,0.6306233,0.6306233,0.6306233,0.6306233,0.6306233,0.6306233,0.6306233,0.6306233,0.6306233
"STD Cost","France","Fantasy","Actual",0.0505307,0.0505307,0.0505307,0.0505307,0.0505307,0.0505307,0.0505307,0.0505307,0.0505307,0.0505307,0.0505307,0.0505307,0.0505307
"STD Cost","Singapore","Fantasy","Actual",0.0891362,0.0891362,0.0891362,0.0891362,0.0891362,0.0891362,0.0891362,0.0891362,0.0891362,0.0891362,0.0891362,0.0891362,0.0891362
"STD Cost","Thailand","Fantasy","Actual",32.2588069,32.2588069,32.2588069,32.2588069,32.2588069,32.2588069,32.2588069,32.2588069,32.2588069,32.2588069,32.2588069,32.2588069,32.2588069
"STD Cost","Australia","Fantasy","Actual",0.0848916,0.0848916,0.0848916,0.0848916,0.0848916,0.0848916,0.0848916,0.0848916,0.0848916,0.0848916,0.0848916,0.0848916,0.0848916
"STD Cost","USA","Sprike","Actual",0.9247121,0.9247121,0.9247121,0.9247121,0.9247121,0.9247121,0.9247121,0.9247121,0.9247121,0.9247121,0.9247121,0.9247121,0.9247121
"STD Cost","Canada","Sprike","Actual",0.9247121,0.9247121,0.9247121,0.9247121,0.9247121,0.9247121,0.9247121,0.9247121,0.9247121,0.9247121,0.9247121,0.9247121,0.9247121
"STD Cost","UK","Sprike","Actual",0.6411337,0.6411337,0.6411337,0.6411337,0.6411337,0.6411337,0.6411337,0.6411337,0.6411337,0.6411337,0.6411337,0.6411337,0.6411337
"STD Cost","France","Sprike","Actual",0.0513729,0.0513729,0.0513729,0.0513729,0.0513729,0.0513729,0.0513729,0.0513729,0.0513729,0.0513729,0.0513729,0.0513729,0.0513729
"STD Cost","Singapore","Sprike","Actual",0.0906218,0.0906218,0.0906218,0.0906218,0.0906218,0.0906218,0.0906218,0.0906218,0.0906218,0.0906218,0.0906218,0.0906218,0.0906218
"STD Cost","Thailand","Sprike","Actual",32.7964540,32.7964540,32.7964540,32.7964540,32.7964540,32.7964540,32.7964540,32.7964540,32.7964540,32.7964540,32.7964540,32.7964540,32.7964540
"STD Cost","Australia","Sprike","Actual",0.0863065,0.0863065,0.0863065,0.0863065,0.0863065,0.0863065,0.0863065,0.0863065,0.0863065,0.0863065,0.0863065,0.0863065,0.0863065
"STD Cost","USA","DropsiCola","Actual",0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490
"STD Cost","Canada","DropsiCola","Actual",0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490
